/usr/local/lib/python3.10/dist-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 9, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 66,356,800
  scalars                 : 18
  total                   : 103,056,978
Estimated FLOPs per token: 4.826822e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
/usr/local/lib/python3.10/dist-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011199 | lrm: 0.00 | dt: 36298ms | tok/sec: 5,416 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011270 | lrm: 0.00 | dt: 264ms | tok/sec: 743,628 | mfu: 36.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011259 | lrm: 0.00 | dt: 123ms | tok/sec: 1,596,333 | mfu: 77.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011271 | lrm: 0.00 | dt: 125ms | tok/sec: 1,566,901 | mfu: 76.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011274 | lrm: 0.00 | dt: 125ms | tok/sec: 1,568,084 | mfu: 76.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011242 | lrm: 0.00 | dt: 127ms | tok/sec: 1,546,426 | mfu: 75.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011244 | lrm: 0.00 | dt: 127ms | tok/sec: 1,543,408 | mfu: 75.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011249 | lrm: 0.00 | dt: 127ms | tok/sec: 1,547,352 | mfu: 75.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011246 | lrm: 0.00 | dt: 127ms | tok/sec: 1,550,351 | mfu: 75.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011239 | lrm: 0.00 | dt: 128ms | tok/sec: 1,537,832 | mfu: 75.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011267 | lrm: 0.00 | dt: 129ms | tok/sec: 1,527,088 | mfu: 74.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011267 | lrm: 0.00 | dt: 124ms | tok/sec: 1,586,679 | mfu: 77.4% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 9.011268 | lrm: 0.02 | dt: 134ms | tok/sec: 1,466,988 | mfu: 71.6% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 9.008258 | lrm: 0.04 | dt: 132ms | tok/sec: 1,494,849 | mfu: 72.9% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 8.999502 | lrm: 0.06 | dt: 136ms | tok/sec: 1,449,400 | mfu: 70.7% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 8.980041 | lrm: 0.09 | dt: 139ms | tok/sec: 1,418,146 | mfu: 69.2% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 8.938744 | lrm: 0.11 | dt: 140ms | tok/sec: 1,401,120 | mfu: 68.3% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 8.848658 | lrm: 0.13 | dt: 136ms | tok/sec: 1,450,168 | mfu: 70.7% | epoch: 1 | remaining: 299s    
step 00042 (1.4%) | loss: 5.828973 | lrm: 0.72 | dt: 139ms | tok/sec: 1,414,107 | mfu: 69.0% | epoch: 1 | remaining: 296s    
step 00043 (1.5%) | loss: 5.791208 | lrm: 0.74 | dt: 139ms | tok/sec: 1,418,078 | mfu: 69.2% | epoch: 1 | remaining: 295s    
step 00044 (1.5%) | loss: 5.758388 | lrm: 0.76 | dt: 142ms | tok/sec: 1,385,070 | mfu: 67.6% | epoch: 1 | remaining: 295s    
step 00045 (1.6%) | loss: 5.726662 | lrm: 0.79 | dt: 139ms | tok/sec: 1,418,937 | mfu: 69.2% | epoch: 1 | remaining: 295s    
step 00046 (1.6%) | loss: 5.694274 | lrm: 0.81 | dt: 139ms | tok/sec: 1,411,106 | mfu: 68.8% | epoch: 1 | remaining: 295s    
step 00047 (1.7%) | loss: 5.664842 | lrm: 0.83 | dt: 140ms | tok/sec: 1,403,799 | mfu: 68.5% | epoch: 1 | remaining: 295s    
step 00048 (1.7%) | loss: 5.634813 | lrm: 0.86 | dt: 140ms | tok/sec: 1,402,059 | mfu: 68.4% | epoch: 1 | remaining: 295s    
step 00049 (1.8%) | loss: 5.608039 | lrm: 0.88 | dt: 141ms | tok/sec: 1,390,833 | mfu: 67.8% | epoch: 1 | remaining: 295s    
step 00050 (1.8%) | loss: 5.581884 | lrm: 0.90 | dt: 137ms | tok/sec: 1,432,692 | mfu: 69.9% | epoch: 1 | remaining: 294s    
step 00051 (1.9%) | loss: 5.555789 | lrm: 0.93 | dt: 139ms | tok/sec: 1,418,578 | mfu: 69.2% | epoch: 1 | remaining: 294s    
step 00052 (1.9%) | loss: 5.528393 | lrm: 0.95 | dt: 140ms | tok/sec: 1,402,650 | mfu: 68.4% | epoch: 1 | remaining: 294s    
step 00053 (1.9%) | loss: 5.505165 | lrm: 0.97 | dt: 137ms | tok/sec: 1,429,982 | mfu: 69.8% | epoch: 1 | remaining: 294s    
step 00054 (2.0%) | loss: 5.482320 | lrm: 1.00 | dt: 136ms | tok/sec: 1,442,575 | mfu: 70.4% | epoch: 1 | remaining: 294s    
step 00055 (2.0%) | loss: 5.462146 | lrm: 1.00 | dt: 139ms | tok/sec: 1,415,034 | mfu: 69.0% | epoch: 1 | remaining: 294s    
step 00056 (2.1%) | loss: 5.444756 | lrm: 1.00 | dt: 138ms | tok/sec: 1,421,520 | mfu: 69.3% | epoch: 1 | remaining: 294s    
step 00057 (2.1%) | loss: 5.423701 | lrm: 1.00 | dt: 136ms | tok/sec: 1,443,052 | mfu: 70.4% | epoch: 1 | remaining: 293s    
step 00058 (2.2%) | loss: 5.398508 | lrm: 1.00 | dt: 137ms | tok/sec: 1,431,342 | mfu: 69.8% | epoch: 1 | remaining: 293s    
step 00059 (2.2%) | loss: 5.373933 | lrm: 1.00 | dt: 142ms | tok/sec: 1,387,793 | mfu: 67.7% | epoch: 1 | remaining: 293s    
step 00060 (2.3%) | loss: 5.351846 | lrm: 1.00 | dt: 138ms | tok/sec: 1,428,983 | mfu: 69.7% | epoch: 1 | remaining: 293s    
step 00061 (2.3%) | loss: 5.328130 | lrm: 1.00 | dt: 140ms | tok/sec: 1,407,193 | mfu: 68.6% | epoch: 1 | remaining: 293s    
step 00062 (2.4%) | loss: 5.303403 | lrm: 1.00 | dt: 141ms | tok/sec: 1,396,500 | mfu: 68.1% | epoch: 1 | remaining: 293s    
step 00063 (2.4%) | loss: 5.276219 | lrm: 1.00 | dt: 140ms | tok/sec: 1,407,746 | mfu: 68.7% | epoch: 1 | remaining: 293s    
step 00064 (2.5%) | loss: 5.250953 | lrm: 1.00 | dt: 143ms | tok/sec: 1,375,269 | mfu: 67.1% | epoch: 1 | remaining: 292s    
step 00065 (2.5%) | loss: 5.221444 | lrm: 1.00 | dt: 135ms | tok/sec: 1,461,541 | mfu: 71.3% | epoch: 1 | remaining: 292s    
step 00066 (2.5%) | loss: 5.196507 | lrm: 1.00 | dt: 140ms | tok/sec: 1,403,978 | mfu: 68.5% | epoch: 1 | remaining: 292s    
step 00067 (2.6%) | loss: 5.173462 | lrm: 1.00 | dt: 139ms | tok/sec: 1,413,961 | mfu: 69.0% | epoch: 1 | remaining: 292s    
step 00068 (2.6%) | loss: 5.149735 | lrm: 1.00 | dt: 140ms | tok/sec: 1,403,283 | mfu: 68.5% | epoch: 1 | remaining: 292s    
step 00069 (2.7%) | loss: 5.125794 | lrm: 1.00 | dt: 140ms | tok/sec: 1,406,996 | mfu: 68.6% | epoch: 1 | remaining: 292s    
step 00070 (2.7%) | loss: 5.100371 | lrm: 1.00 | dt: 139ms | tok/sec: 1,414,868 | mfu: 69.0% | epoch: 1 | remaining: 292s    
step 00071 (2.8%) | loss: 5.080584 | lrm: 1.00 | dt: 139ms | tok/sec: 1,413,784 | mfu: 69.0% | epoch: 1 | remaining: 292s    
step 00072 (2.8%) | loss: 5.055228 | lrm: 1.00 | dt: 138ms | tok/sec: 1,429,573 | mfu: 69.7% | epoch: 1 | remaining: 291s    
step 00073 (2.9%) | loss: 5.031500 | lrm: 1.00 | dt: 136ms | tok/sec: 1,448,044 | mfu: 70.6% | epoch: 1 | remaining: 291s    
step 00074 (2.9%) | loss: 5.013302 | lrm: 1.00 | dt: 141ms | tok/sec: 1,395,156 | mfu: 68.1% | epoch: 1 | remaining: 291s    
step 00075 (3.0%) | loss: 4.990129 | lrm: 1.00 | dt: 136ms | tok/sec: 1,444,812 | mfu: 70.5% | epoch: 1 | remaining: 291s    
step 00076 (3.0%) | loss: 4.969930 | lrm: 1.00 | dt: 136ms | tok/sec: 1,446,796 | mfu: 70.6% | epoch: 1 | remaining: 291s    
step 00077 (3.1%) | loss: 4.952678 | lrm: 1.00 | dt: 143ms | tok/sec: 1,377,999 | mfu: 67.2% | epoch: 1 | remaining: 291s    
step 00078 (3.1%) | loss: 4.928208 | lrm: 1.00 | dt: 138ms | tok/sec: 1,427,423 | mfu: 69.6% | epoch: 1 | remaining: 291s    
step 00079 (3.1%) | loss: 4.908500 | lrm: 1.00 | dt: 138ms | tok/sec: 1,427,645 | mfu: 69.6% | epoch: 1 | remaining: 290s    
step 00080 (3.2%) | loss: 4.891359 | lrm: 1.00 | dt: 141ms | tok/sec: 1,394,446 | mfu: 68.0% | epoch: 1 | remaining: 290s    
step 00081 (3.2%) | loss: 4.871232 | lrm: 1.00 | dt: 137ms | tok/sec: 1,432,503 | mfu: 69.9% | epoch: 1 | remaining: 290s    
step 00082 (3.3%) | loss: 4.847375 | lrm: 1.00 | dt: 141ms | tok/sec: 1,390,667 | mfu: 67.8% | epoch: 1 | remaining: 290s    
step 00083 (3.3%) | loss: 4.828333 | lrm: 1.00 | dt: 140ms | tok/sec: 1,403,068 | mfu: 68.4% | epoch: 1 | remaining: 290s    
step 00084 (3.4%) | loss: 4.805099 | lrm: 1.00 | dt: 139ms | tok/sec: 1,418,344 | mfu: 69.2% | epoch: 1 | remaining: 290s    
step 00085 (3.4%) | loss: 4.787402 | lrm: 1.00 | dt: 140ms | tok/sec: 1,402,087 | mfu: 68.4% | epoch: 1 | remaining: 290s    
step 00086 (3.5%) | loss: 4.766085 | lrm: 1.00 | dt: 137ms | tok/sec: 1,432,250 | mfu: 69.9% | epoch: 1 | remaining: 289s    
step 00087 (3.5%) | loss: 4.747478 | lrm: 1.00 | dt: 141ms | tok/sec: 1,393,433 | mfu: 68.0% | epoch: 1 | remaining: 289s    
step 00088 (3.6%) | loss: 4.733328 | lrm: 1.00 | dt: 140ms | tok/sec: 1,408,373 | mfu: 68.7% | epoch: 1 | remaining: 289s    
step 00089 (3.6%) | loss: 4.712153 | lrm: 1.00 | dt: 139ms | tok/sec: 1,418,575 | mfu: 69.2% | epoch: 1 | remaining: 289s    
step 00090 (3.7%) | loss: 4.696617 | lrm: 1.00 | dt: 140ms | tok/sec: 1,404,217 | mfu: 68.5% | epoch: 1 | remaining: 289s    
step 00091 (3.7%) | loss: 4.675121 | lrm: 1.00 | dt: 138ms | tok/sec: 1,426,235 | mfu: 69.6% | epoch: 1 | remaining: 289s    
step 00092 (3.8%) | loss: 4.652027 | lrm: 1.00 | dt: 138ms | tok/sec: 1,424,205 | mfu: 69.5% | epoch: 1 | remaining: 289s    
step 00093 (3.8%) | loss: 4.629185 | lrm: 1.00 | dt: 137ms | tok/sec: 1,431,571 | mfu: 69.8% | epoch: 1 | remaining: 288s    
step 00094 (3.8%) | loss: 4.608539 | lrm: 1.00 | dt: 136ms | tok/sec: 1,443,469 | mfu: 70.4% | epoch: 1 | remaining: 288s    
step 00095 (3.9%) | loss: 4.592418 | lrm: 1.00 | dt: 136ms | tok/sec: 1,443,287 | mfu: 70.4% | epoch: 1 | remaining: 288s    
step 00096 (3.9%) | loss: 4.572973 | lrm: 1.00 | dt: 139ms | tok/sec: 1,415,454 | mfu: 69.0% | epoch: 1 | remaining: 288s    
step 00097 (4.0%) | loss: 4.558459 | lrm: 1.00 | dt: 139ms | tok/sec: 1,409,755 | mfu: 68.8% | epoch: 1 | remaining: 288s    
step 00098 (4.0%) | loss: 4.543777 | lrm: 1.00 | dt: 138ms | tok/sec: 1,427,287 | mfu: 69.6% | epoch: 1 | remaining: 288s    
step 00099 (4.1%) | loss: 4.524646 | lrm: 1.00 | dt: 137ms | tok/sec: 1,439,631 | mfu: 70.2% | epoch: 1 | remaining: 288s    
step 00100 (4.1%) | loss: 4.508563 | lrm: 1.00 | dt: 138ms | tok/sec: 1,429,518 | mfu: 69.7% | epoch: 1 | remaining: 288s    
step 00101 (4.2%) | loss: 4.488378 | lrm: 1.00 | dt: 139ms | tok/sec: 1,411,321 | mfu: 68.8% | epoch: 1 | remaining: 287s    
step 00102 (4.2%) | loss: 4.474182 | lrm: 1.00 | dt: 139ms | tok/sec: 1,411,415 | mfu: 68.8% | epoch: 1 | remaining: 287s    
step 00103 (4.3%) | loss: 4.456543 | lrm: 1.00 | dt: 137ms | tok/sec: 1,432,874 | mfu: 69.9% | epoch: 1 | remaining: 287s    
step 00104 (4.3%) | loss: 4.440369 | lrm: 1.00 | dt: 137ms | tok/sec: 1,439,706 | mfu: 70.2% | epoch: 1 | remaining: 287s    
step 00105 (4.3%) | loss: 4.426490 | lrm: 1.00 | dt: 138ms | tok/sec: 1,428,882 | mfu: 69.7% | epoch: 1 | remaining: 287s    
step 00106 (4.4%) | loss: 4.409741 | lrm: 1.00 | dt: 137ms | tok/sec: 1,439,487 | mfu: 70.2% | epoch: 1 | remaining: 287s    
step 00107 (4.4%) | loss: 4.389051 | lrm: 1.00 | dt: 141ms | tok/sec: 1,397,807 | mfu: 68.2% | epoch: 1 | remaining: 287s    
step 00108 (4.5%) | loss: 4.368394 | lrm: 1.00 | dt: 139ms | tok/sec: 1,412,561 | mfu: 68.9% | epoch: 1 | remaining: 286s    
step 00109 (4.5%) | loss: 4.352013 | lrm: 1.00 | dt: 138ms | tok/sec: 1,420,254 | mfu: 69.3% | epoch: 1 | remaining: 286s    
step 00110 (4.6%) | loss: 4.333511 | lrm: 1.00 | dt: 140ms | tok/sec: 1,408,792 | mfu: 68.7% | epoch: 1 | remaining: 286s    
step 00111 (4.6%) | loss: 4.316089 | lrm: 1.00 | dt: 141ms | tok/sec: 1,392,889 | mfu: 67.9% | epoch: 1 | remaining: 286s    
step 00112 (4.7%) | loss: 4.303318 | lrm: 1.00 | dt: 139ms | tok/sec: 1,412,803 | mfu: 68.9% | epoch: 1 | remaining: 286s    
step 00113 (4.7%) | loss: 4.288712 | lrm: 1.00 | dt: 139ms | tok/sec: 1,411,420 | mfu: 68.8% | epoch: 1 | remaining: 286s    
step 00114 (4.8%) | loss: 4.273867 | lrm: 1.00 | dt: 141ms | tok/sec: 1,391,120 | mfu: 67.9% | epoch: 1 | remaining: 286s    
step 00115 (4.8%) | loss: 4.259829 | lrm: 1.00 | dt: 141ms | tok/sec: 1,396,318 | mfu: 68.1% | epoch: 1 | remaining: 285s    
step 00116 (4.9%) | loss: 4.246179 | lrm: 1.00 | dt: 139ms | tok/sec: 1,415,595 | mfu: 69.1% | epoch: 1 | remaining: 285s    
step 00117 (4.9%) | loss: 4.230818 | lrm: 1.00 | dt: 139ms | tok/sec: 1,412,457 | mfu: 68.9% | epoch: 1 | remaining: 285s    
step 00118 (5.0%) | loss: 4.208849 | lrm: 1.00 | dt: 139ms | tok/sec: 1,412,551 | mfu: 68.9% | epoch: 1 | remaining: 285s    
step 00119 (5.0%) | loss: 4.192059 | lrm: 1.00 | dt: 142ms | tok/sec: 1,385,459 | mfu: 67.6% | epoch: 1 | remaining: 285s    
step 00120 (5.0%) | loss: 4.176184 | lrm: 1.00 | dt: 141ms | tok/sec: 1,398,518 | mfu: 68.2% | epoch: 1 | remaining: 285s    
step 00121 (5.1%) | loss: 4.160054 | lrm: 1.00 | dt: 138ms | tok/sec: 1,422,488 | mfu: 69.4% | epoch: 1 | remaining: 285s    
step 00122 (5.1%) | loss: 4.149528 | lrm: 1.00 | dt: 141ms | tok/sec: 1,399,332 | mfu: 68.3% | epoch: 1 | remaining: 284s    
step 00123 (5.2%) | loss: 4.131708 | lrm: 1.00 | dt: 139ms | tok/sec: 1,415,206 | mfu: 69.0% | epoch: 1 | remaining: 284s    
step 00124 (5.2%) | loss: 4.119347 | lrm: 1.00 | dt: 141ms | tok/sec: 1,394,988 | mfu: 68.0% | epoch: 1 | remaining: 284s    
step 00125 (5.3%) | loss: 4.099706 | lrm: 1.00 | dt: 145ms | tok/sec: 1,353,056 | mfu: 66.0% | epoch: 1 | remaining: 284s    
step 00126 (5.3%) | loss: 4.085775 | lrm: 1.00 | dt: 138ms | tok/sec: 1,424,257 | mfu: 69.5% | epoch: 1 | remaining: 284s    
step 00127 (5.4%) | loss: 4.061733 | lrm: 1.00 | dt: 137ms | tok/sec: 1,439,817 | mfu: 70.2% | epoch: 1 | remaining: 284s    
step 00128 (5.4%) | loss: 4.048103 | lrm: 1.00 | dt: 140ms | tok/sec: 1,403,631 | mfu: 68.5% | epoch: 1 | remaining: 284s    
step 00129 (5.5%) | loss: 4.034689 | lrm: 1.00 | dt: 140ms | tok/sec: 1,407,919 | mfu: 68.7% | epoch: 1 | remaining: 283s    
step 00130 (5.5%) | loss: 4.028539 | lrm: 1.00 | dt: 140ms | tok/sec: 1,403,682 | mfu: 68.5% | epoch: 1 | remaining: 283s    
step 00131 (5.6%) | loss: 4.020814 | lrm: 1.00 | dt: 140ms | tok/sec: 1,401,949 | mfu: 68.4% | epoch: 1 | remaining: 283s    
step 00132 (5.6%) | loss: 4.009510 | lrm: 1.00 | dt: 138ms | tok/sec: 1,421,917 | mfu: 69.4% | epoch: 1 | remaining: 283s    
step 00133 (5.7%) | loss: 3.994726 | lrm: 1.00 | dt: 140ms | tok/sec: 1,406,715 | mfu: 68.6% | epoch: 1 | remaining: 283s    
step 00134 (5.7%) | loss: 3.982920 | lrm: 1.00 | dt: 141ms | tok/sec: 1,397,997 | mfu: 68.2% | epoch: 1 | remaining: 283s    
step 00135 (5.7%) | loss: 3.970559 | lrm: 1.00 | dt: 141ms | tok/sec: 1,398,865 | mfu: 68.2% | epoch: 1 | remaining: 283s    
step 00136 (5.8%) | loss: 3.955871 | lrm: 1.00 | dt: 140ms | tok/sec: 1,399,974 | mfu: 68.3% | epoch: 1 | remaining: 282s    
step 00137 (5.8%) | loss: 3.943845 | lrm: 1.00 | dt: 140ms | tok/sec: 1,401,811 | mfu: 68.4% | epoch: 1 | remaining: 282s    
step 00138 (5.9%) | loss: 3.934465 | lrm: 1.00 | dt: 139ms | tok/sec: 1,415,614 | mfu: 69.1% | epoch: 1 | remaining: 282s    
step 00139 (5.9%) | loss: 3.924506 | lrm: 1.00 | dt: 141ms | tok/sec: 1,396,567 | mfu: 68.1% | epoch: 1 | remaining: 282s    
step 00140 (6.0%) | loss: 3.914091 | lrm: 1.00 | dt: 141ms | tok/sec: 1,398,872 | mfu: 68.2% | epoch: 1 | remaining: 282s    
step 00141 (6.0%) | loss: 3.902414 | lrm: 1.00 | dt: 138ms | tok/sec: 1,421,738 | mfu: 69.4% | epoch: 1 | remaining: 282s    
